%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83732.894,300.389,0.971,9.950,48.066,-0.041,-15.564,15.966,5.888,-18.896,36.661,-22.418,-20.608,-15.732,-12.503,-12.088,38.671,24.368,-43.489,-12.435,15.574,-52.688,-7.000,-544.798,-289.718,14.557,-121.300,215.621
83712.754,300.391,0.971,9.943,47.987,0.279,-15.996,15.631,6.102,-17.643,35.904,-22.729,-20.501,-16.268,-13.061,-12.192,38.354,24.474,-43.907,-11.599,15.263,-54.264,-7.000,-544.798,-289.718,14.557,-121.349,215.601
83708.726,300.394,0.971,9.951,48.066,-0.201,-15.672,14.961,5.888,-18.374,36.878,-23.144,-20.714,-15.518,-13.731,-11.567,39.834,25.219,-44.743,-11.390,16.509,-54.264,-7.000,-544.798,-289.718,14.557,-121.300,215.601
83708.726,300.391,0.971,9.935,47.908,0.279,-15.996,14.961,5.460,-18.478,37.094,-22.106,-20.714,-15.732,-12.949,-12.088,39.622,24.581,-44.639,-10.449,16.405,-54.039,-7.000,-544.798,-289.718,14.557,-121.300,215.611
83720.810,300.391,0.971,9.950,48.066,0.119,-16.428,15.742,5.995,-18.687,36.878,-22.314,-20.394,-15.625,-12.615,-10.733,38.777,24.793,-43.489,-10.031,16.820,-53.701,-7.000,-544.798,-289.718,14.557,-121.332,215.590
83712.754,300.394,0.971,9.967,48.224,0.119,-15.564,15.742,6.102,-17.956,36.229,-22.833,-20.180,-15.839,-11.721,-11.255,39.094,25.432,-42.130,-8.882,15.782,-53.476,-7.000,-544.798,-289.718,14.557,-121.283,215.601
83712.754,300.394,0.971,9.959,48.145,-0.041,-15.347,15.854,5.995,-17.852,36.986,-22.625,-20.180,-15.197,-12.949,-13.026,38.671,26.496,-42.757,-9.822,15.782,-55.615,-7.000,-544.798,-289.718,14.557,-121.300,215.590
83724.838,300.396,0.971,9.983,48.382,0.279,-15.672,15.631,5.567,-17.643,36.553,-21.795,-20.821,-15.197,-11.498,-15.110,40.362,25.858,-41.607,-11.808,15.055,-54.602,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83716.782,300.396,0.971,9.967,48.224,-0.041,-16.752,15.519,5.888,-17.956,36.770,-22.106,-19.540,-15.625,-11.831,-12.505,39.728,25.964,-41.293,-13.689,14.951,-56.178,-7.000,-544.798,-289.718,14.557,-121.300,215.611
83708.726,300.394,0.971,9.951,48.066,-0.041,-16.536,15.631,6.102,-18.165,36.121,-21.795,-19.433,-15.839,-11.496,-10.733,39.517,26.283,-40.562,-13.271,13.394,-56.741,-7.000,-544.798,-289.718,14.557,-121.283,215.631
83712.754,300.399,0.971,9.918,47.750,-0.361,-16.969,16.636,6.423,-18.061,36.770,-22.625,-19.860,-15.732,-12.054,-11.776,39.511,26.390,-40.248,-13.166,14.328,-58.880,-7.000,-544.798,-289.718,14.557,-121.300,215.621
83720.810,300.392,0.971,9.950,48.066,-0.041,-17.941,16.412,5.781,-18.061,36.337,-21.795,-20.714,-15.090,-10.938,-11.567,39.722,25.964,-39.934,-12.539,13.809,-58.767,-7.000,-544.798,-289.718,14.557,-121.316,215.611
83720.810,300.394,0.971,9.950,48.066,0.279,-19.022,17.194,6.637,-18.270,36.553,-21.899,-19.540,-15.732,-11.831,-10.421,38.137,25.964,-41.607,-12.330,14.225,-58.992,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83712.754,300.396,0.971,9.943,47.987,0.119,-19.022,15.966,6.316,-17.434,35.796,-22.002,-19.967,-15.518,-12.836,-11.255,39.405,24.368,-42.234,-12.121,14.017,-59.330,-7.000,-544.798,-289.718,14.557,-121.316,215.590
83712.754,300.399,0.971,9.959,48.145,-0.041,-19.022,16.189,5.674,-17.748,36.986,-23.144,-20.394,-15.304,-12.501,-11.671,39.511,25.751,-43.698,-12.644,14.952,-59.893,-7.000,-544.798,-289.718,14.557,-121.332,215.590
83708.726,300.399,0.971,9.951,48.066,-0.041,-19.238,16.189,6.102,-18.270,36.553,-21.795,-20.928,-15.625,-13.171,-11.046,38.983,26.496,-43.280,-13.793,14.432,-58.767,-7.000,-544.798,-289.718,14.557,-121.316,215.611
83708.726,300.397,0.971,9.943,47.987,-0.361,-19.674,16.189,6.209,-18.478,36.878,-22.106,-19.753,-16.482,-12.613,-11.776,39.194,25.751,-43.907,-12.330,15.367,-59.330,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83708.726,300.394,0.971,9.943,47.987,-0.201,-18.809,15.296,6.530,-17.956,36.878,-22.521,-20.180,-15.518,-12.947,-10.942,39.722,25.538,-44.221,-11.703,14.536,-59.668,-7.000,-544.798,-289.718,14.557,-121.267,215.601
83716.782,300.394,0.971,9.942,47.987,0.119,-19.566,16.301,5.567,-18.374,37.635,-23.040,-19.967,-15.197,-11.831,-11.150,39.617,25.751,-43.489,-12.957,14.744,-60.569,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83708.726,300.399,0.971,9.959,48.145,-0.041,-19.349,16.301,6.530,-17.956,37.418,-22.418,-20.714,-15.625,-12.278,-11.359,39.617,27.028,-43.384,-13.793,14.848,-59.780,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83712.754,300.394,0.971,9.967,48.224,0.439,-20.538,16.077,6.851,-17.956,36.661,-22.106,-20.074,-15.946,-12.278,-11.880,39.617,26.177,-43.698,-13.271,14.640,-60.118,-7.000,-544.798,-289.718,14.557,-121.283,215.601
83720.810,300.397,0.971,9.959,48.145,0.279,-19.025,15.631,6.423,-17.852,37.094,-22.418,-19.647,-15.197,-11.720,-11.776,40.250,25.219,-44.116,-12.017,15.159,-59.668,-7.000,-544.798,-289.718,14.557,-121.300,215.601
83720.810,300.394,0.971,9.959,48.145,-0.041,-19.782,16.747,6.316,-17.226,37.418,-22.729,-20.180,-15.304,-11.050,-11.567,39.722,25.538,-43.803,-11.599,15.055,-58.767,-7.000,-544.798,-289.718,14.557,-121.316,215.611
83708.726,300.400,0.971,9.951,48.066,0.279,-19.025,16.636,7.066,-18.687,37.094,-21.380,-20.180,-14.662,-11.162,-11.359,39.828,25.219,-41.816,-12.435,15.263,-58.430,-7.000,-544.798,-289.718,14.557,-121.316,215.611
83712.754,300.396,0.971,9.935,47.908,0.119,-18.809,16.524,7.066,-17.226,36.661,-21.691,-19.647,-15.625,-11.273,-10.942,38.877,25.538,-42.339,-11.912,14.952,-58.317,-7.000,-544.798,-289.718,14.557,-121.300,215.601
83704.698,300.394,0.971,9.935,47.908,0.119,-18.052,15.854,6.744,-17.226,36.661,-21.691,-19.753,-14.769,-11.720,-10.733,39.722,25.858,-41.921,-12.017,15.886,-57.529,-7.000,-544.798,-289.718,14.557,-121.316,215.601
83708.726,300.397,0.971,9.943,47.987,0.119,-18.052,16.859,5.781,-17.226,36.337,-22.210,-19.753,-14.555,-10.380,-12.297,39.828,25.006,-43.071,-12.644,15.159,-56.741,-7.000,-544.798,-289.718,14.557,-121.316,215.621
83708.726,300.397,0.971,9.951,48.066,0.439,-17.404,16.412,6.637,-18.374,36.121,-21.795,-19.967,-14.983,-10.827,-11.359,39.088,25.219,-43.907,-12.539,14.952,-56.741,-7.000,-544.798,-289.718,14.557,-121.316,215.611
