%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84006.793,301.011,0.972,9.976,48.381,-4.525,-6.701,2.456,-1.39,-17.223,23.36,-19.405,-17.298,-13.806,-12.503,-8.337,27.468,17.239,-28.54,-4.284,11.006,-35.914,-5,29.974,-14.148,-0.864,-121.332,215.59
84010.821,301.009,0.972,9.984,48.46,-4.366,-6.701,3.573,-1.603,-17.641,23.684,-19.613,-17.618,-13.806,-11.61,-8.754,26.834,16.6,-28.958,-4.493,11.006,-35.576,-5,30.031,-14.158,-0.867,-121.332,215.58
84014.849,301.008,0.972,9.992,48.539,-4.525,-6.809,3.796,-0.962,-17.641,23.144,-19.405,-18.472,-13.913,-12.056,-9.066,27.151,16.707,-27.494,-5.329,11.11,-35.576,-5,30.012,-14.189,-0.866,-121.316,215.58
84002.765,301.006,0.972,9.976,48.381,-4.685,-7.35,3.35,-0.962,-17.432,23.252,-19.613,-17.725,-14.876,-12.28,-7.816,27.468,16.919,-28.226,-3.657,10.798,-35.576,-5,30.031,-14.189,-0.867,-121.316,215.59
84006.793,301.013,0.972,9.984,48.46,-4.206,-6.809,3.126,-1.069,-17.432,23.252,-19.509,-18.152,-13.913,-12.28,-8.337,26.939,17.132,-26.867,-4.389,10.798,-36.139,-5,30.051,-14.189,-0.87,-121.332,215.57
84014.849,301.011,0.972,9.984,48.46,-4.525,-6.809,3.573,-2.565,-17.641,23.468,-19.301,-18.045,-13.913,-11.833,-8.649,26.623,17.451,-27.39,-4.598,10.695,-35.351,-5,30.07,-14.189,-0.87,-121.332,215.59
84002.765,301.013,0.972,9.985,48.46,-4.525,-7.025,3.35,-1.176,-17.954,23.468,-19.301,-17.832,-14.662,-11.722,-8.128,26.517,17.558,-25.299,-4.493,11.318,-34.9,-5,30.07,-14.179,-0.871,-121.332,215.57
84014.849,301.013,0.972,10,48.618,-4.206,-6.809,3.461,-0.962,-17.849,22.927,-19.198,-17.832,-14.769,-11.61,-7.712,26.939,17.558,-27.704,-4.075,10.279,-35.914,-5,30.147,-14.189,-0.871,-121.316,215.58
84002.765,301.009,0.972,9.985,48.46,-4.366,-7.133,3.015,-1.71,-17.119,23.468,-19.613,-17.938,-13.378,-12.166,-8.441,26.623,17.664,-27.704,-4.598,10.591,-36.139,-5,30.166,-14.158,-0.873,-121.3,215.58
84047.073,301.009,0.973,9.99,48.539,-4.525,-7.133,3.461,-1.069,-17.536,23.36,-19.716,-17.618,-14.127,-11.608,-9.17,26.517,17.132,-27.494,-4.075,10.487,-35.576,-5,30.147,-14.148,-0.876,-121.316,215.58
